Try,Dimension,BlockSize,Time,L1_DCM,L2_DCM
0,4096,128,36.4903,9808003138,31706657919
0,4096,256,33.8979,9122884177,22283150650
0,4096,512,39.2903,8780769501,18954442371
0,6144,128,127.19,33071030923,107369293807
0,6144,256,141.169,30809367754,75625544806
0,6144,512,145.706,29766632242,65181238157
0,8192,128,361.673,78299219599,242082302543
0,8192,256,286.062,72903226076,175182940795
0,8192,512,283.892,70306981665,152189340417
0,10240,128,582.85,152773424325,474382210815
0,10240,256,518.024,142367421746,350110941056
0,10240,512,499.548,137338136643,302077594940
1,4096,128,38.7051,9803279020,31736588983
1,4096,256,34.949,9120417365,22211092105
1,4096,512,41.1901,8782420065,19013566129
1,6144,128,128.397,33102764172,104581068412
1,6144,256,111.692,30773854280,75341091214
1,6144,512,110.701,29693830764,64848090949
1,8192,128,339.232,78340759272,251613211055
1,8192,256,331.668,72985220936,173317613989
1,8192,512,287.553,70310057698,152270473187
1,10240,128,579.198,152785774993,491195116334
1,10240,256,506.89,142345509042,350457512868
1,10240,512,499.437,137388842963,301937258316
2,4096,128,38.046,9799642576,31702176132
2,4096,256,34.7601,9120791863,22321943399
2,4096,512,41.1333,8781750327,19018796292
2,6144,128,127.329,33102695500,104598209534
2,6144,256,110.508,30774458320,74674055726
2,6144,512,108.731,29692568413,64372199381
2,8192,128,335.956,78340081510,251303223857
2,8192,256,333.597,73037911153,171858216409
2,8192,512,350.262,70407640196,147189473069
2,10240,128,589.668,152958431336,493773193017
2,10240,256,514.13,142406813719,350025454622
2,10240,512,509.053,137276575316,299578926693
3,4096,128,38.3038,9802484546,31835940293
3,4096,256,35.0954,9120811485,22384967865
3,4096,512,39.8077,8781132618,18961164405
3,6144,128,125.063,32999561856,105719921220
3,6144,256,108.537,30760170014,74785013604
3,6144,512,109.295,29699722986,64558939467
3,8192,128,321.339,78526270483,247521824649
3,8192,256,425.654,73159455641,164900143407
3,8192,512,322.186,70390089286,149638832948
3,10240,128,581.13,152913756990,490154313712
3,10240,256,506.262,142419196343,349941745854
3,10240,512,504.732,137342087361,301251138196
4,4096,128,37.9849,9805654496,31725036995
4,4096,256,35.129,9122570706,22301657434
4,4096,512,39.3137,8780602228,18906791823
4,6144,128,127.171,33104462040,104557185966
4,6144,256,109.924,30775052001,74906164779
4,6144,512,109.226,29692453605,64995326729
4,8192,128,338.261,78429929241,253903791888
4,8192,256,375.862,73101034612,168610402565
4,8192,512,350.756,70405565930,146612652498
4,10240,128,591.134,153051768478,495682036815
4,10240,256,510.783,142424090977,350530212011
4,10240,512,507.39,137267682868,300484022629
5,4096,128,37.5882,9797137669,31711781785
5,4096,256,34.8398,9123098708,22383559564
5,4096,512,39.6153,8782354470,18971771563
5,6144,128,124.412,33050075130,105908575575
5,6144,256,110.999,30773585799,75470133763
5,6144,512,109.426,29700703762,65146735422
5,8192,128,332.161,78590798627,254496770383
5,8192,256,434.122,73179397007,165205399437
5,8192,512,350.575,70440765386,147748192212
