Try,Dimension,Time,L1_DCM,L2_DCM
0,600,0.11763,27150815,55582287
0,1000,0.567688,125918727,253526240
0,1400,1.80357,347701557,696212001
0,1800,3.88881,754175641,1477854318
0,2200,7.20748,2089551444,2650086251
0,2600,11.7747,4412098071,4349926655
0,3000,18.2943,6782779379,6770136691
1,600,0.128738,27401931,57368833
1,1000,0.601397,126233436,263917181
1,1400,1.89835,350398973,700551965
1,1800,3.93956,754789720,1481905165
1,2200,7.18458,2086091969,2651787374
1,2600,12.0541,4412298730,4402259318
1,3000,18.1723,6782735359,6745919102
2,600,0.12519,27413259,55896683
2,1000,0.578756,126241504,257461905
2,1400,1.79865,349009541,702274676
2,1800,3.91773,754843172,1507033111
2,2200,7.15118,2084924726,2678032749
2,2600,11.7519,4413269242,4391420045
2,3000,18.2736,6783956516,6743393946
3,600,0.12466,27393407,57535465
3,1000,0.646902,126476541,260855691
3,1400,1.81221,349215809,706688295
3,1800,3.89646,756025547,1477507893
3,2200,7.07503,2084618890,2644073863
3,2600,11.761,4412817811,4356207740
3,3000,17.9963,6783897691,6707220511
4,600,0.129533,27422733,57358912
4,1000,0.599555,126275223,264055001
4,1400,1.81978,349042878,714084262
4,1800,3.91034,755093441,1470907856
4,2200,7.05322,2084928157,2639402580
4,2600,11.713,4413157852,4355219815
4,3000,18.0649,6783893895,6659758705
5,600,0.125797,27427700,57223722
5,1000,0.588708,126535092,264351426
5,1400,1.81549,349353330,709139759
5,1800,3.93142,755130260,1486533354
5,2200,7.1512,2085265415,2646440391
5,2600,12.1466,4413047470,4397768620
5,3000,18.5183,6783422332,6786624400
6,600,0.132146,27427426,57253876
6,1000,0.66058,126647432,264012263
6,1400,1.89558,351181734,715162801
6,1800,3.89039,755040525,1478034680
6,2200,7.06102,2085157006,2628295106
6,2600,11.8431,4413024546,4367191209
6,3000,18.3386,6783419656,6785055999
7,600,0.130533,27405461,57462264
7,1000,0.606666,126574389,264776048
7,1400,1.868,350285994,719599100
7,1800,3.99771,754966393,1488330991
7,2200,7.16005,2084967947,2641309775
7,2600,11.8968,4413154112,4439020146
7,3000,18.4865,6783477237,6753147466
8,600,0.127517,27417178,55059100
8,1000,0.598431,126671331,255651926
8,1400,1.88399,350948861,719152873
8,1800,3.98612,755200713,1495951376
8,2200,7.08394,2085072392,2634662659
8,2600,11.9126,4411963931,4408104889
8,3000,18.2143,6783461366,6758390257
9,600,0.130719,27421618,55289034
9,1000,0.607828,126605617,255670413
9,1400,1.83172,350373130,706599817
9,1800,3.87594,756861584,1480626765
9,2200,7.052,2085482723,2637995602
9,2600,11.7747,4413187502,4375227832
9,3000,18.3059,6783538366,6723459898
0,4096,47.5078,17659983901,17337617694
0,6144,155.394,59511119031,58353835965
0,8192,375.698,141062246310,142008316838
0,10240,730.929,275348212554,279474001701
1,4096,47.8339,17665279867,17272707048
1,6144,158.429,59560713185,58745442861
1,8192,374.816,141040787488,141926268531
1,10240,733.889,275421755822,278552815159
2,4096,47.1309,17658559281,17130146613
2,6144,160.97,59554221773,58113034904
2,8192,383.142,141050169196,141032912445
2,10240,749.426,275434958863,276925917149
3,4096,48.5697,17667104257,17221336269
3,6144,162.418,59572362393,58768498012
3,8192,384.591,141068119957,141395279494
3,10240,748.379,275440091463,276853986792
4,4096,48.0191,17667805538,17262359750
4,6144,159.468,59579751310,58569296147
4,8192,377.869,141073727423,141328341317
4,10240,740.099,275458726075,277334019897
5,4096,48.2881,17661392808,17412705492
5,6144,159.889,59573238818,58389947478
5,8192,378.905,141083713475,141794945115
5,10240,741.883,275462393206,278421436183
6,4096,47.4557,17663032868,17180766740
6,6144,158.125,59570835571,58561693288
6,8192,378.989,141096479935,141816544217
6,10240,736.134,275453259844,276059216085
7,4096,47.683,17661768792,17155091475
7,6144,160.282,59565154140,58347624496
7,8192,377.179,141043859847,141244815111
7,10240,740.106,275467775791,277574822698
8,4096,47.6593,17661051532,17272439742
8,6144,160.119,59570479435,58725835028
8,8192,379.927,141095199186,142098929286
8,10240,738.77,275462528776,278750382273
9,4096,48.3659,17665463717,17285941567
9,6144,160.029,59578210027,58652445451
9,8192,376.879,141059050158,141437247891
9,10240,738.674,275457075568,279382161865
